procedures,provstem,gp_prov_address_suburb,gp_prov_address_state,gp_prov_address_postcode,lon,lat
73,000014,CAMPBELLTOWN,SA,5074,138.6693,-34.88423
140,000035,CAMPBELLTOWN,SA,5074,138.6693,-34.88423
20,000113,LIVERPOOL,NSW,2170,150.9214,-33.92839
31,000131,BARTON,ACT,2600,149.2011,-35.30291
1,000131,BATEMANS BAY,NSW,2536,150.1259,-35.67127
14,000131,BOWRAL,NSW,2576,150.5035,-34.52561
24,000131,BROOKVALE,NSW,2100,151.2578,-33.76641
1,000131,MANLY,NSW,2095,151.2947,-33.81548
1,000131,MANUKA,ACT,2603,149.1257,-35.33038
109,000149,NEWTOWN,NSW,2042,151.1754,-33.90065
38,000149,REDFERN,NSW,2016,151.2062,-33.89491
143,000274,AUCHENFLOWER,QLD,4066,152.9641,-27.47987
152,000409,RICHMOND,VIC,3121,145.0018,-37.8233
29,000725,NORTH ADELAIDE,SA,5006,138.5845,-34.91152
8,000730,NORTH PARRAMATTA,NSW,2151,151.0125,-33.78709
1959,000823,ROBINA,QLD,4226,153.4028,-28.06794
13,000957,DEAKIN,ACT,2600,149.2011,-35.30291
622,001033,WESTMEAD,NSW,2145,150.9574,-33.8131
1,001166,AUBURN DISTRICT HOSPITAL,NSW,2144,151.0267,-33.85187
27,001166,LIVERPOOL,NSW,2170,150.9214,-33.92839
2,001166,SUBIACO,WA,6008,115.8114,-31.9566
551,001166,WESTMEAD,NSW,2145,150.9574,-33.8131
210,001936,NORTH GOSFORD,NSW,2250,151.1892,-33.32537
1,002080,BUTLER,WA,6036,NULL,NULL
12,002105,KOGARAH,NSW,2217,151.1404,-33.97435
156,002529,PENRITH,NSW,2750,150.6786,-33.75548
3,002575,NOOSAVILLE,QLD,4566,153.0474,-26.41173
4,002578,WAGGA WAGGA,NSW,2650,147.3762,-35.07459
1,002631,NEWTOWN,NSW,2042,151.1754,-33.90065
1,002652,FL 1,NSW,2560,150.7684,-34.19422
163,002652,LIVERPOOL,NSW,2170,150.9214,-33.92839
172,003540,TAREE,NSW,2430,152.5032,-31.89931
1,003733,BENDIGO HOSPITAL,VIC,3550,144.2853,-36.76427
1,004380,IPSWICH,QLD,4305,152.7537,-27.62752
11,004441,NEWTOWN,NSW,2042,151.1754,-33.90065
33,004520,RANDWICK,NSW,2031,151.2392,-33.91483
1,004804,BONDI JUNCTION,NSW,2022,151.2451,-33.8964
18,005718,HERSTON,QLD,4006,153.1752,-27.36618
